,screen_name,id,followers,friends,number_tweets,number_tweets_intervals,mean_interval_tweets,variance_interval_tweets,standard_deviation_interval_tweets,number_tweets_week,monday_relative_frequence,tuesday_relative_frequence,wednesday_relative_frequence,thursday_relative_frequence,friday_relative_frequence,saturday_relative_frequence,sunday_relative_frequence,mean_day_week,variance_day_week,standard_deviation_day_week,number_hashtags,hashtag_per_tweet,profile_image_url,profile_image_url_https
0,brunoneyo,336283401,842,1036,200,186,1.21,0.50,0.71,200,0.065,0.125,0.43,0.19,0.19,0.0,0.0,28.57,766.24,27.68,120,1.00,http://pbs.twimg.com/profile_images/1462700052/pret_o_002_002_normal.jpg,https://pbs.twimg.com/profile_images/1462700052/pret_o_002_002_normal.jpg
1,flaviogomesss,791388784466288640,643,1885,200,160,9891.93,691970477.73,26305.33,200,0.07,0.055,0.145,0.115,0.15,0.085,0.38,28.57,419.67,20.49,126,1.62,http://pbs.twimg.com/profile_images/791391806638460928/eoAuk3Ok_normal.jpg,https://pbs.twimg.com/profile_images/791391806638460928/eoAuk3Ok_normal.jpg
2,panterafreitas,901590587098497024,1962,2954,200,160,3239.41,36275680.58,6022.93,200,0.18,0.095,0.17,0.345,0.105,0.04,0.065,28.57,361.96,19.03,2,2.00,http://pbs.twimg.com/profile_images/937543773810319360/BYpKq7yn_normal.jpg,https://pbs.twimg.com/profile_images/937543773810319360/BYpKq7yn_normal.jpg
3,Rosilen68042075,996190029021138945,329,1253,200,168,7.35,162.50,12.75,200,0.06,0.02,0.21,0.135,0.12,0.015,0.44,28.57,752.53,27.43,12,1.50,http://pbs.twimg.com/profile_images/996191650794926080/KhG7OHEA_normal.jpg,https://pbs.twimg.com/profile_images/996191650794926080/KhG7OHEA_normal.jpg
4,edcassioneves,292017996,65,679,200,162,797.36,3388821.03,1840.88,200,0.21,0.085,0.07,0.125,0.145,0.315,0.05,28.57,295.67,17.20,139,1.22,http://pbs.twimg.com/profile_images/1004701104096120835/zKPs3Mj4_normal.jpg,https://pbs.twimg.com/profile_images/1004701104096120835/zKPs3Mj4_normal.jpg
5,Mirella_PB30,898569160048947200,63,30,200,184,1.27,0.40,0.64,200,0.115,0.005,0.21,0.67,0.0,0.0,0.0,28.57,2076.53,45.57,0,0.00,http://pbs.twimg.com/profile_images/921724318584799232/g_ySxYrQ_normal.jpg,https://pbs.twimg.com/profile_images/921724318584799232/g_ySxYrQ_normal.jpg
6,salomaobetaSDV,988813520853749762,87,439,200,136,1.00,0.00,0.00,200,0.1,0.095,0.0,0.125,0.125,0.215,0.34,28.57,395.67,19.89,1,1.00,http://pbs.twimg.com/profile_images/1000561043897311233/sa4Vzdoy_normal.jpg,https://pbs.twimg.com/profile_images/1000561043897311233/sa4Vzdoy_normal.jpg
7,andreia_bacelar,3021422896,1663,2106,200,167,1.28,0.50,0.71,200,0.42,0.015,0.0,0.315,0.05,0.03,0.17,28.57,944.53,30.73,5,1.00,http://pbs.twimg.com/profile_images/563795304752103424/d0fpw0sr_normal.jpeg,https://pbs.twimg.com/profile_images/563795304752103424/d0fpw0sr_normal.jpeg
8,BarbosaClerio,895390404635447297,2867,4989,200,171,1.07,0.45,0.67,200,0.13,0.005,0.315,0.25,0.005,0.015,0.28,28.57,653.96,25.57,10,1.00,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
9,fabioconde,34275244,163,120,200,184,33463.83,1407326613.63,37514.35,200,0.125,0.19,0.105,0.13,0.2,0.13,0.12,28.57,46.24,6.80,123,3.73,http://pbs.twimg.com/profile_images/725121766952165376/VaAMSzE4_normal.jpg,https://pbs.twimg.com/profile_images/725121766952165376/VaAMSzE4_normal.jpg
